Fund net assets,"Fossil fuel holdings, weight","Coal industry, weight","Oil / gas industry, weight","Fossil-fired utilities, weight",Fossil fuel finance fund score,"Fossil fuel finance holdings, weight",Fossil fuel insurance fund score,"Fossil fuel insurance holdings, weight","Clean200, weight"," Deforestation-risk producer, weight","Deforestation-risk financier, weight","Deforestation-risk consumer brand, weight",esg_score,grade
437333174,0.108,0.021,0.087,0.031,15.1,0.05,13.4,0.022,0.134,0.006,0.04,0.062,23.55,3
771668765,0.092,0.007,0.065,0.041,9,0.014,21.5,0.022,0.197,0.007,0.025,0.1,22.51,3
99885982,0.258,0.066,0.201,0.014,0,0,0,0,0.065,0.017,0,0.018,25.37,3
150538550,0.057,0.008,0.043,0.019,5,0.011,8.6,0.01,0.081,0.004,0.013,0.04,23.81,3
317738225,0.068,0.01,0.052,0.022,5.9,0.014,9.9,0.012,0.095,0.005,0.016,0.048,23.66,3
231976000,0.082,0.012,0.062,0.027,7,0.017,11.5,0.014,0.112,0.006,0.019,0.056,23.57,3
319531275,0.094,0.014,0.071,0.03,7.9,0.019,13.2,0.016,0.128,0.007,0.022,0.064,23.5,3
189535391,0.103,0.015,0.078,0.033,8.7,0.021,14.5,0.017,0.14,0.007,0.024,0.071,23.46,3
221512505,0.105,0.016,0.08,0.034,8.9,0.021,14.8,0.018,0.143,0.007,0.024,0.072,23.47,3
103766998,0.106,0.016,0.08,0.034,9,0.022,14.9,0.018,0.145,0.007,0.024,0.073,23.47,3
92068960,0.106,0.016,0.08,0.034,9,0.022,14.9,0.018,0.145,0.007,0.024,0.073,23.46,3
183018401,0.087,0.015,0.07,0.028,0,0,0.9,0.002,0.009,0.007,0,0.023,26.21,3
543099821,0.043,0.004,0.037,0.011,0,0,0,0,0.002,0,0,0.002,27.97,3
405926848,0.062,0,0.038,0.024,0,0,0,0,0.012,0,0,0.008,28.91,3
50604945,0.103,0.055,0.103,0.103,34.3,0.116,0,0,0.142,0,0.079,0.175,22.72,3
317209099,0.093,0,0.048,0.045,21.3,0.05,45.1,0.045,0.123,0,0.05,0.097,22.56,3
611545224,0.068,0,0.05,0.052,0,0,20.5,0.024,0.079,0.034,0.033,0.034,22.61,3
238434956,0.042,0,0.042,0.023,23,0.053,14.5,0.015,0.115,0.023,0.057,0.04,27.46,3
